cause,label,gender,d,e,smr,bs_lower,bs_med,bs_upper,bs_exd_lower,bs_exd_med,bs_exd_upper,trad_pe,trad_lower,trad_upper,exd_pe,d_f,e_f,smr_f,cs_bs,pc,pc_f,exc_f,exc_pc_f,e_pc_f
viral_hep,Viral hepatitis,female,62,0,Inf,Inf,Inf,Inf,48,61,78,Inf,Inf,Inf,62,62,    0.0,   Inf,(Inf-Inf),0.00469376939965175,(0.5),62.0,(0.5),(0.0)
CANCERS,II: CANCERS,both,1748,552.7945759,3.162114963,2.961412417,3.158803448,3.381113251,1114.511892,1194.220512,1280.966658,3.162114963,3.015599263,3.31390869,1195.205424,"1,748",  552.8,  3.16,(2.96-3.38),0.132334014686956,(13.2),"1,195.2",(10.4),(32.3)
CANCERS,II: CANCERS,male,1146,366.0562518,3.130666378,2.903100909,3.132053387,3.385839575,712.1548732,779.8724952,848.1249164,3.130666378,2.952011467,3.31730676,779.9437482,"1,146",  366.1,  3.13,(2.90-3.39),0.0867590279354985,(8.7),779.9,(6.8),(21.4)
CANCERS,II: CANCERS,female,602,186.7383241,3.223762464,2.895960992,3.221062262,3.596939305,368.5923593,414.6561348,464.0930789,3.223762464,2.971350328,3.49188648,415.2616759,602,  186.7,  3.22,(2.90-3.60),0.0455749867514573,(4.6),415.3,(3.6),(10.9)
breast_cancer,Breast,both,100,42.4058631543037,2.35816447447671,1.83537717322071,2.35649934217016,3.0221909082449,38.0597251900613,56.9928512735834,79.3788587939546,2.35816447447671,1.91869673669561,2.86815984265805,57.5941368456963,100,   42.4,  2.36,(1.84-3.02),0.00757059580588992,(0.8),57.6,(0.5),(2.5)
breast_cancer,Breast,male,0,0.755399989882756,0,0,0,0,-1.70506782602319,-0.695185459089856,0,0,0,4.88334591411164,-0.755399989882756,0,    0.8,  0.00,(0.00-0.00),0,(0.0),-0.8,(0.0),(0.0)
breast_cancer,Breast,female,100,41.650463164421,2.40093368482449,1.84849326602192,2.39084403288506,3.05821992880435,38.535495170263,57.5857039431908,78.7655633786281,2.40093368482449,1.95349547326107,2.92017866193439,58.3495368355791,100,   41.7,  2.40,(1.85-3.06),0.00757059580588992,(0.8),58.3,(0.5),(2.4)
digestive_cancer,Digestive,both,511,159.0733659,3.212354232,2.8565933,3.225925927,3.64146841,307.6184359,352.3916079,399.0953442,3.212354232,2.939832382,3.503341634,351.9266341,511,  159.1,  3.21,(2.86-3.64),0.0386857445680975,(3.9),351.9,(3.1),(9.3)
digestive_cancer,Digestive,male,411,122.1719461,3.364111099,2.935774179,3.360316326,3.8550731,248.7075315,288.5413361,328.802233,3.364111099,3.046696583,3.70560884,288.8280539,411,  122.2,  3.36,(2.94-3.86),0.0311151487622076,(3.1),288.8,(2.5),(7.1)
digestive_cancer,Digestive,female,100,36.90141972,2.709922836,2.070322793,2.721065877,3.496948378,42.39226677,62.97289121,83.79699675,2.709922836,2.204901379,3.29599226,63.09858028,100,   36.9,  2.71,(2.07-3.50),0.00757059580588992,(0.8),63.1,(0.5),(2.2)
female_genital_cancer,Female genital,both,72,26.33096054,2.734423603,2.032737396,2.726685092,3.735558668,30.49797379,45.64248165,63.58994447,2.734423603,2.139518063,3.443553982,45.66903946,72,   26.3,  2.73,(2.03-3.74),0.00545082898024075,(0.5),45.7,(0.4),(1.5)
female_genital_cancer,Female genital,male,0,0,,,,,0,0,0,,,Inf,0,0,    0.0,    NA,(NA-NA),0,(0.0),0.0,(0.0),(0.0)
female_genital_cancer,Female genital,female,72,26.33096054,2.734423603,2.004131779,2.722832827,3.717811904,28.66677829,45.46032562,63.57948741,2.734423603,2.139518063,3.443553982,45.66903946,72,   26.3,  2.73,(2.00-3.72),0.00545082898024075,(0.5),45.7,(0.4),(1.5)
lymph_cancer,Lymph. and hem.,both,88,38.44704159,2.288862715,1.716022444,2.272314473,2.989329868,29.78569304,49.0655291,70.03799208,2.288862715,1.835734828,2.819942881,49.55295841,88,   38.4,  2.29,(1.72-2.99),0.00666212430918313,(0.7),49.6,(0.4),(2.2)
lymph_cancer,Lymph. and hem.,male,71,28.81879635,2.463669861,1.800106,2.460043462,3.343467518,25.90866329,42.39293468,59.85263076,2.463669861,1.924146601,3.107584301,42.18120365,71,   28.8,  2.46,(1.80-3.34),0.00537512302218185,(0.5),42.2,(0.4),(1.7)
lymph_cancer,Lymph. and hem.,female,17,9.628245244,1.765638449,0.923166525,1.777256864,3.15885446,-0.832282072,7.454534699,16.61624748,1.765638449,1.028549462,2.826958197,7.371754756,17,    9.6,  1.77,(0.92-3.16),0.00128700128700129,(0.1),7.4,(0.1),(0.6)
respiratory_cancer,Respiratory,both,548,112.0962889,4.888654259,4.324984093,4.884294677,5.578539553,391.8755081,435.529499,483.6798046,4.888654259,4.487863035,5.315636428,435.9037111,548,  112.1,  4.89,(4.32-5.58),0.0414868650162768,(4.1),435.9,(3.8),(6.5)
respiratory_cancer,Respiratory,male,356,84.00724558,4.237729705,3.644899566,4.236226064,4.94756961,234.6718286,271.7692304,310.6630099,4.237729705,3.80890412,4.701621774,271.9927544,356,   84.0,  4.24,(3.64-4.95),0.0269513210689681,(2.7),272.0,(2.4),(4.9)
respiratory_cancer,Respiratory,female,192,28.0890433,6.835405463,5.376138546,6.847265203,8.759515923,137.0059154,163.568577,191.953366,6.835405463,5.902697914,7.873643889,163.9109567,192,   28.1,  6.84,(5.38-8.76),0.0145355439473087,(1.5),163.9,(1.4),(1.6)
NERVOUS,VI: NERVOUS SYSTEM,both,163,60.35669805,2.700611618,2.185683786,2.696683094,3.323162982,76.19554888,101.9911953,128.9907499,2.700611618,2.301932448,3.148500783,102.6433019,163,   60.4,  2.70,(2.19-3.32),0.0123400711636006,(1.2),102.6,(0.9),(3.5)
NERVOUS,VI: NERVOUS SYSTEM,male,109,45.18142054,2.412496081,1.896298194,2.431740475,3.091624261,43.30649432,64.03425266,87.65681906,2.412496081,1.980910314,2.910188303,63.81857946,109,   45.2,  2.41,(1.90-3.09),0.00825194942842002,(0.8),63.8,(0.6),(2.6)
NERVOUS,VI: NERVOUS SYSTEM,female,54,15.17527751,3.558419275,2.414820135,3.542324219,5.337402528,24.03672711,38.6163301,55.32766757,3.558419275,2.673194078,4.642965266,38.82472249,54,   15.2,  3.56,(2.41-5.34),0.00408812173518056,(0.4),38.8,(0.3),(0.9)
CVD,IX: CIRCULATORY,both,1143,316.4785031,3.611619711,3.327141268,3.615921491,3.92130371,763.3625975,828.2030546,898.8050962,3.611619711,3.405252335,3.827223636,826.5214969,"1,143",  316.5,  3.61,(3.33-3.92),0.0865319100613218,(8.7),826.5,(7.2),(18.5)
CVD,IX: CIRCULATORY,male,828,258.3991465,3.204344949,2.92316328,3.202800279,3.527469678,513.9110894,569.2074928,627.9463873,3.204344949,2.989774205,3.430247741,569.6008535,828,  258.4,  3.20,(2.92-3.53),0.0626845332727686,(6.3),569.6,(5.0),(15.1)
CVD,IX: CIRCULATORY,female,315,58.07935659,5.423613802,4.536057683,5.399094851,6.525218241,220.3622638,255.8108257,292.5965474,5.423613802,4.841147112,6.056856899,256.9206434,315,   58.1,  5.42,(4.54-6.53),0.0238473767885533,(2.4),256.9,(2.2),(3.4)
ihd,Ischaemic heart,both,572,193.6939883,2.953111787,2.627053765,2.937125219,3.275634572,328.6918929,377.5941435,425.1472727,2.953111787,2.716030091,3.205346413,378.3060117,572,  193.7,  2.95,(2.63-3.28),0.0433038080096904,(4.3),378.3,(3.3),(11.3)
ihd,Ischaemic heart,male,447,167.4720794,2.66910163,2.358174207,2.654923748,3.007363979,235.6762168,277.8544998,322.5455536,2.66910163,2.427370815,2.928389616,279.5279206,447,  167.5,  2.67,(2.36-3.01),0.033840563252328,(3.4),279.5,(2.4),(9.8)
ihd,Ischaemic heart,female,125,26.22190895,4.767006104,3.619155712,4.789862254,6.209118801,76.95405043,98.29164128,121.7194533,4.767006104,3.968013896,5.679672569,98.77809105,125,   26.2,  4.77,(3.62-6.21),0.00946324475736241,(0.9),98.8,(0.9),(1.5)
stroke,Cerebrovascular,both,260,63.55568139,4.090900991,3.4554648,4.109173604,4.859086545,167.2111106,195.7433072,229.3365819,4.090900991,3.608710856,4.619578242,196.4443186,260,   63.6,  4.09,(3.46-4.86),0.0196835490953138,(2.0),196.4,(1.7),(3.7)
stroke,Cerebrovascular,male,169,46.01188811,3.672963813,2.912660726,3.697204921,4.651892142,95.90566986,123.2344805,150.9170914,3.672963813,3.140067391,4.270382941,122.9881119,169,   46.0,  3.67,(2.91-4.65),0.012794306911954,(1.3),123.0,(1.1),(2.7)
stroke,Cerebrovascular,female,91,17.54379328,5.187019622,3.764830705,5.204842469,7.193743701,55.25477243,73.93329291,91.97902518,5.187019622,4.176264638,6.368510682,73.45620672,91,   17.5,  5.19,(3.76-7.19),0.00688924218335983,(0.7),73.5,(0.6),(1.0)
RESPIRATORY,X: RESPIRATORY,both,1247,117.659291,10.59839805,9.481420294,10.60587367,12.02569998,1054.939214,1129.441991,1200.593316,10.59839805,10.0182482,11.20338184,1129.340709,"1,247",  117.7, 10.60,(9.48-12.03),0.0944053296994473,(9.4),"1,129.3",(9.8),(6.9)
RESPIRATORY,X: RESPIRATORY,male,854,83.40357995,10.23936863,8.994954425,10.25973468,11.79117369,714.0022931,769.6768197,831.9632282,10.23936863,9.564054487,10.94978527,770.59642,854,   83.4, 10.24,(8.99-11.79),0.0646528881822999,(6.5),770.6,(6.7),(4.9)
RESPIRATORY,X: RESPIRATORY,female,393,34.25571106,11.47253955,9.31849903,11.48022914,14.34661682,320.0624361,357.5855016,398.5103085,11.47253955,10.3661803,12.66482236,358.7442889,393,   34.3, 11.47,(9.32-14.35),0.0297524415171474,(3.0),358.7,(3.1),(2.0)
copd,COPD,both,681,45.99791131,14.80502007,12.62447251,14.76237059,17.59555012,585.6017404,634.419799,683.333502,14.80502007,13.71380674,15.95996781,635.0020887,681,   46.0, 14.81,(12.62-17.60),0.0515557574381104,(5.2),635.0,(5.5),(2.7)
copd,COPD,male,461,30.80850616,14.96339997,12.4360371,15.06583827,18.61376973,390.858661,431.6436573,474.1245103,14.96339997,13.62846992,16.39374642,430.1914938,461,   30.8, 14.96,(12.44-18.61),0.0349004466651525,(3.5),430.2,(3.7),(1.8)
copd,COPD,female,220,15.18940516,14.48377983,10.84668657,14.40298296,19.93768971,177.569071,204.6578516,234.7730654,14.48377983,12.63298069,16.52943246,204.8105948,220,   15.2, 14.48,(10.85-19.94),0.0166553107729578,(1.7),204.8,(1.8),(0.9)
flu_pneu,Influenza & pneumonia,both,361,37.4538874,9.638518857,8.000661784,9.576541673,11.78706468,283.3673174,323.1171687,363.1567723,9.638518857,8.669772793,10.68590785,323.5461126,361,   37.5,  9.64,(8.00-11.79),0.0273298508592626,(2.7),323.5,(2.8),(2.2)
flu_pneu,Influenza & pneumonia,male,277,26.88420536,10.30344756,8.129404145,10.27964813,13.3482853,217.6456553,249.6304249,283.9508254,10.30344756,9.12569021,11.59103375,250.1157946,277,   26.9, 10.30,(8.13-13.35),0.0209705503823151,(2.1),250.1,(2.2),(1.6)
flu_pneu,Influenza & pneumonia,female,84,10.56968205,7.947258926,5.450731347,8.020958833,11.9792494,55.26986228,73.30414043,91.49356005,7.947258926,6.339044963,9.839247321,73.43031795,84,   10.6,  7.95,(5.45-11.98),0.00635930047694754,(0.6),73.4,(0.6),(0.6)
DIGESTIVE,XI: DIGESTIVE,both,1611,178.6311533,9.018583656,8.281890589,9.004415373,9.9549359,1356.322738,1434.481507,1517.164013,9.018583656,8.583518457,9.469987745,1432.368847,"1,611",  178.6,  9.02,(8.28-9.95),0.121962298432887,(12.2),"1,432.4",(12.5),(10.4)
DIGESTIVE,XI: DIGESTIVE,male,1174,142.429503,8.242674274,7.369169874,8.248435149,9.169457967,965.3643453,1031.483851,1102.73458,8.242674274,7.777858549,8.728010937,1031.570497,"1,174",  142.4,  8.24,(7.37-9.17),0.0888787947611477,(8.9),"1,031.6",(9.0),(8.3)
DIGESTIVE,XI: DIGESTIVE,female,437,36.20165036,12.07127287,9.779515964,12.08382248,14.79684495,356.499949,399.08593,442.656565,12.07127287,10.96588305,13.25789811,400.7983496,437,   36.2, 12.07,(9.78-14.80),0.033083503671739,(3.3),400.8,(3.5),(2.1)
liver,Liver disease,both,1272,139.2952961,9.131679504,8.235206725,9.171949817,10.17938552,1064.074461,1134.50057,1210.555878,9.131679504,8.636684978,9.647648697,1132.704704,"1,272",  139.3,  9.13,(8.24-10.18),0.0962979786509198,(9.6),"1,132.7",(9.9),(8.1)
liver,Liver disease,male,930,112.6998546,8.2520071,7.351606103,8.255580792,9.371189129,761.0285947,818.1745152,879.3778403,8.2520071,7.73010624,8.799873289,817.3001454,930,  112.7,  8.25,(7.35-9.37),0.0704065409947763,(7.0),817.3,(7.1),(6.6)
liver,Liver disease,female,342,26.59544151,12.85934659,10.20735952,12.91672286,16.41864619,279.6437021,315.2860142,352.5477508,12.85934659,11.53243342,14.29706348,315.4045585,342,   26.6, 12.86,(10.21-16.42),0.0258914376561435,(2.6),315.4,(2.7),(1.6)
EXTERNAL,XX: EXTERNAL CAUSES,both,1367,207.8939517,6.575467871,5.995963686,6.562305244,7.192155045,1090.770515,1158.419879,1232.681528,6.575467871,6.231475552,6.933509221,1159.106048,"1,367",  207.9,  6.58,(6.00-7.19),0.103490044666515,(10.3),"1,159.1",(10.1),(12.1)
EXTERNAL,XX: EXTERNAL CAUSES,male,1093,184.4515213,5.925676254,5.407673843,5.950517048,6.54611679,841.2550842,910.7793586,974.4765077,5.925676254,5.579540875,6.287663055,908.5484787,"1,093",  184.5,  5.93,(5.41-6.55),0.0827466121583769,(8.3),908.5,(7.9),(10.8)
EXTERNAL,XX: EXTERNAL CAUSES,female,274,23.44243036,11.68820791,9.208529392,11.74675427,15.07829496,218.1411111,250.3076493,283.5289522,11.68820791,10.34509241,13.1572906,250.5575696,274,   23.4, 11.69,(9.21-15.08),0.0207434325081384,(2.1),250.6,(2.2),(1.4)
accidents,Accidents,both,550,79.72924966,6.898346621,6.008006109,6.910259998,7.927332544,425.0480337,470.4756401,516.6486824,6.898346621,6.333800095,7.499715676,470.2707503,550,   79.7,  6.90,(6.01-7.93),0.0416382769323946,(4.2),470.3,(4.1),(4.7)
accidents,Accidents,male,438,67.06757269,6.530726884,5.574055866,6.551582545,7.676745315,329.886371,371.6341753,413.6049673,6.530726884,5.933362233,7.171939894,370.9324273,438,   67.1,  6.53,(5.57-7.68),0.0331592096297979,(3.3),370.9,(3.2),(3.9)
accidents,Accidents,female,112,12.66167697,8.845589749,6.303791481,8.83805256,12.85063786,78.8606546,99.17939862,122.2473702,8.845589749,7.283431236,10.643543,99.33832303,112,   12.7,  8.85,(6.30-12.85),0.00847906730259671,(0.8),99.3,(0.9),(0.7)
self_harm,Suicide,both,645,110.2416573,5.850782871,5.159974594,5.858409212,6.632014231,485.5893769,533.8882166,587.3494682,5.850782871,5.40790949,6.320258463,534.7583427,645,  110.2,  5.85,(5.16-6.63),0.04883034294799,(4.9),534.8,(4.7),(6.4)
self_harm,Suicide,male,519,102.463241,5.065231152,4.411953227,5.064333313,5.838313136,370.6034154,415.0512574,466.2716749,5.065231152,4.638770967,5.520355728,416.536759,519,  102.5,  5.07,(4.41-5.84),0.0392913922325687,(3.9),416.5,(3.6),(6.0)
self_harm,Suicide,female,126,7.778416311,16.19867014,10.95306982,16.5148535,25.72531157,96.31153508,118.2205645,140.9474931,16.19867014,13.49392482,19.28658053,118.2215837,126,    7.8, 16.20,(10.95-25.73),0.0095389507154213,(1.0),118.2,(1.0),(0.5)
