MedCodeId,Term,emphysema_chronic_bronchitis
x555461000006119,Chronic obstruct pulmonary dis with acute lower resp infectn,unspecified
x977891000006112,COPD accident and emergency attendance since last visit,unspecified
x998281000006115,Multiple COPD emergency hospital admissions,unspecified
x1704531000006115,COPD patient unsuitable for pulmonary rehab - enh serv admin,unspecified
x1704541000006113,COPD patient unsuitable for pulmonary rehabilitation,unspecified
x1783891000006115,Chronic obstructiv pulmonary disease medication optimisation,unspecified
x1784071000006113,Preferred place of care for next exacerbation of COPD,unspecified
x1811661000006110,COPD self-management plan agreed,unspecified
x1885981000006112,Chronic obstructive pulmon dis wr self managem plan declined,unspecified
x301469018,Other emphysema,emphysema
x11932351000006110,COPD GOLD group C,unspecified
x11932361000006112,COPD GOLD group D,unspecified
x2160051010,Admit COPD emergency,unspecified
x8312921000006111,COPD (chronic obstructive pulmonary disease) management plan declined,unspecified
x4733031000006114,Chronic obstructive bronchitis,chronic_bronchitis
x2716351000006113,COLD - Chronic obstructive lung disease,unspecified
x7484341000006112,Optimization of medication for chronic obstructive lung disease,unspecified
x4781461000006117,Emphysematous bulla,emphysema
x4733011000006115,COB - Chronic obstructive bronchitis,chronic_bronchitis
x4781421000006111,Acute exacerbation of COPD,unspecified
x8260631000006112,COPD (chronic obstructive pulmonary disease) self-management plan review,unspecified
x8294671000006116,COPD (chronic obstructive pulmonary disease) written self management plan declined,unspecified
x9317331000006113,Asthma-COPD overlap syndrome (ACOS),unspecified
x4733021000006111,Obstructive chronic bronchitis,chronic_bronchitis
x4732991000006119,Chronic bronchitis with emphysema,unspecified
x4781431000006114,Acute exacerbation of chronic obstructive pulmonary disease,unspecified
x3764021000006117,Interstitial emphysema of lung,emphysema
x8316481000006116,Shared care COPD (chronic obstructive pulmonary disease) monitoring,unspecified
x8125721000006119,At risk of COPD (chronic obstructive pulmonary disease) exacerbation,unspecified
x12489801000006116,Admit COPD emergency,unspecified
x2716321000006116,COPD - Chronic obstructive pulmonary disease,unspecified
x6763231000006119,Emergency hospital admission for chronic obstructive pulmonary disease,unspecified
x3921361000006112,Emphysema of lung,emphysema
x12704691000006117,Interstitial emphysema,emphysema
x12759361000006112,Chronic obstructive pulmonary disease NOS,unspecified
x285104011,Obstructive chronic bronchitis,chronic_bronchitis
x301539010,Other specified chronic obstructive airways disease,unspecified
x1880061000006110,COPD management plan declined,unspecified
x1765681000000110,History of chronic obstructive pulmonary disease,unspecified
x1573111000000115,Issue of chronic obstructive pulmonary disease rescue pack,unspecified
x516801000000112,Very severe chronic obstructive pulmonary disease,unspecified
x1813871000006117,On chronic obstructive pulmonary disease supprtv cre pathway,unspecified
x11932341000006113,COPD GOLD group B,unspecified
x977911000006114,Number of COPD exacerbations in past year,unspecified
x7484351000006114,Optimisation of medication for chronic obstructive lung disease,unspecified
x457581000006111,Acute interstitial emphysema,emphysema
x4781471000006112,Bullous emphysema,emphysema
x5516841000006119,History of chronic obstructive airway disease,unspecified
x2716231000006114,Chronic obstructive lung disease,unspecified
x6763251000006114,Emergency hospital admission for COPD (chronic obstructive pulmonary disease),unspecified
x7484331000006119,Optimization of medication for chronic obstructive pulmonary disease,unspecified
x8235101000006114,COPD (chronic obstructive pulmonary disease) 3 monthly review,unspecified
x12728161000006116,Chronic obstructive airways disease NOS,unspecified
x8235131000006118,COPD (chronic obstructive pulmonary disease) 6 monthly review,unspecified
x1656601000006119,COPD patient unsuitable for pulmonary rehabilitation,unspecified
x909711000006111,[RFC] Chronic obstructive pulmonary disease (COPD),unspecified
x851261000006116,"Chronic bronchitis, acute exac",chronic_bronchitis
x1780380013,Chronic obstructive pulmonary disease monitoring by nurse,unspecified
x1780381012,Chronic obstructive pulmonary disease monitoring by doctor,unspecified
x1488424013,Chronic obstructive pulmonary disease annual review,unspecified
x457171013,Severe chronic obstructive pulmonary disease,unspecified
x301450011,Chronic asthmatic bronchitis,chronic_bronchitis
x301451010,Chronic wheezy bronchitis,chronic_bronchitis
x301464011,Zonal bullous emphysema,emphysema
x977901000006111,Emergency COPD admission since last appointment,unspecified
x8120981000006112,COPD (Chronic obstructive pulmonary disease) patient unsuitable for pulmonary rehabilitation,unspecified
x8058301000006110,COPD (chronic obstructive pulmonary disease) disturbs sleep,unspecified
x9317341000006115,ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome,unspecified
x301448015,Mucopurulent chronic bronchitis NOS,chronic_bronchitis
x3011135010,Step down change in chronic obstructive pulmonary disease management plan,unspecified
x424365019,Acute infective exacerbation of chronic obstructive airways disease,unspecified
x2009451000006113,Chronic obstructive pulmonary disease post discharge review,unspecified
x1882371000006118,Shared care chronic obstructive pulmonary disease monitoring,unspecified
x1683181000000112,Chronic obstructive pulmonary disease 3 monthly review,unspecified
x508562012,Chronic catarrhal bronchitis,chronic_bronchitis
x1488423019,Chronic obstructive pulmonary disease follow-up,unspecified
x396108018,Bullous emphysema with collapse,emphysema
x301453013,Acute exacerbation of chronic obstructive airways disease,unspecified
x1813881000006119,On COPD (chr obstruc pulmonary disease) supportv cre pathway,unspecified
x1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrom,unspecified
x301835010,[X]Other emphysema,emphysema
x396110016,Other emphysema NOS,emphysema
x11932331000006115,COPD GOLD group A,unspecified
x8294651000006114,COPD (chronic obstructive pulmonary disease) rescue pack declined,unspecified
x4510801000006114,End stage chronic obstructive pulmonary disease,unspecified
x8219501000006114,Issue of COPD (chronic obstructive pulmonary disease) rescue pack,unspecified
x3764031000006119,Interstitial pulmonary emphysema,emphysema
x1683221000000119,Chronic obstructive pulmonary disease 6 monthly review,unspecified
x2152091000000112,Has chronic obstructive pulmonary disease care plan,unspecified
x2308511000000113,Shared care chronic obstructive pulmonary disease monitoring,unspecified
x1823851000006119,Chronic obstructive pulmonary disease confirmed,unspecified
x8287171000006115,Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease),unspecified
x301572010,Chronic emphysema due to chemical fumes,emphysema
x87480013,Chronic tracheobronchitis,chronic_bronchitis
x1904861000006117,Chronic obstruct pulmonary disease management plan declined,unspecified
x301457014,Other chronic bronchitis,chronic_bronchitis
x301459012,Chronic bronchitis NOS,chronic_bronchitis
x301836011,[X]Other specified chronic obstructive pulmonary disease,unspecified
x555471000006114,Chronic obstructive airways disease,unspecified
x640491000006111,Emphysema,emphysema
x966841000006111,Chronic obstructive pulmonary disease clini management plan,unspecified
x3873191000006110,Fetid chronic bronchitis,chronic_bronchitis
x8244871000006114,GP (general practitioner) OOH (out of hours) service notified of COPD (chronic obstructive pulmonary disease) care plan,unspecified
