code,term,type
11935111000006118,Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination,medcode
11935071000006114,Administration of second quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider,medcode
460224014,[V]Influenza vaccination,medcode
11934921000006113,Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination,medcode
11935081000006112,Adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination given by pharmacist,medcode
8439031000006118,Second inactivated seasonal influenza vaccination given by midwife,medcode
1884481000006115,Seasonal influenza vaccination given while hospital inpt,medcode
11935021000006113,Administration of first quadrivalent (QIV) inactivated seasonal influenza vaccination given by other healthcare provider,medcode
8439021000006116,First inactivated seasonal influenza vaccination given by midwife,medcode
11934961000006119,Administration of adjuvanted trivalent (aTIV) inactivated seasonal influenza vaccination,medcode
142934010,Influenza vaccination,medcode
2724941000033114,Inflexal Berna V Injection 0.5 ml pre-filled syringe,prodcode
596541000033119,Fluzone Vaccine 0.5 ml,prodcode
8563041000033113,Fluarix Tetra vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),prodcode
6453341000033116,Preflucel vaccine suspension for injection 0.5ml pre-filled syringes (Baxter Healthcare Ltd),prodcode
12364041000033116,"Quadrivalent vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)",prodcode
770341000033117,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes",prodcode
147441000033115,Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd),prodcode
596641000033118,Fluarix vaccine suspension for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),prodcode
2189441000033118,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)",prodcode
3331741000033119,Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd),prodcode
9702041000033119,"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)",prodcode
8534741000033118,Influvac Desu vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd),prodcode
12593041000033119,Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),prodcode
12599041000033117,Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),prodcode
12598941000033114,Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),prodcode
12605941000033110,Influenza MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),prodcode
3952441000033113,Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),prodcode
8123441000033119,Optaflu vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),prodcode
588341000033111,Fluvirin vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd),prodcode
759741000033113,Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan),prodcode
2641741000033118,Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd),prodcode
2890941000033111,Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd),prodcode
762141000033114,"Influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes",prodcode
3347241000033118,"Influenza vaccine (split virion, inactivated) suspension for injection 0.25ml pre-filled syringes",prodcode
3188641000033119,Invivac vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd),prodcode
6452541000033117,Inflexal V vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd),prodcode
3954341000033113,"Influenza vaccine (surface antigen, inactivated, virosome) suspension for injection 0.5ml pre-filled syringes",prodcode
3954241000033115,Viroflu vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd),prodcode
5415741000033111,Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd),prodcode
5415841000033118,"Influenza vaccine (split virion, inactivated) 9microgram strain suspension for injection 0.1ml pre-filled syringes",prodcode
5093141000033117,"Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes",prodcode
5093241000033112,Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd),prodcode
5208541000033111,Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd),prodcode
6494541000033116,Influenza vaccine (live attenuated) nasal suspension 0.2ml unit dose,prodcode
6494641000033115,Fluenz vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),prodcode
9306941000033116,Fluenz Tetra vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),prodcode
10647441000033112,FluMist Quadrivalent vaccine nasal suspension 0.2ml unit dose (AstraZeneca UK Ltd),prodcode
