MedCodeId,Term
x4781471000006112,Bullous emphysema
x5516841000006119,History of chronic obstructive airway disease
x2716231000006114,Chronic obstructive lung disease
x6763251000006114,Emergency hospital admission for COPD (chronic obstructive pulmonary disease)
x7484331000006119,Optimization of medication for chronic obstructive pulmonary disease
x8235101000006114,COPD (chronic obstructive pulmonary disease) 3 monthly review
x12728161000006116,Chronic obstructive airways disease NOS
x8235131000006118,COPD (chronic obstructive pulmonary disease) 6 monthly review
x1656601000006119,COPD patient unsuitable for pulmonary rehabilitation
x909711000006111,[RFC] Chronic obstructive pulmonary disease (COPD)
x851261000006116,"Chronic bronchitis, acute exac"
x1780380013,Chronic obstructive pulmonary disease monitoring by nurse
x1780381012,Chronic obstructive pulmonary disease monitoring by doctor
x1488424013,Chronic obstructive pulmonary disease annual review
x457171013,Severe chronic obstructive pulmonary disease
x301450011,Chronic asthmatic bronchitis
x301451010,Chronic wheezy bronchitis
x301464011,Zonal bullous emphysema
x977901000006111,Emergency COPD admission since last appointment
x8120981000006112,COPD (Chronic obstructive pulmonary disease) patient unsuitable for pulmonary rehabilitation
x8058301000006110,COPD (chronic obstructive pulmonary disease) disturbs sleep
x9317341000006115,ACOS - asthma-chronic obstructive pulmonary disease overlap syndrome
x301448015,Mucopurulent chronic bronchitis NOS
x3011135010,Step down change in chronic obstructive pulmonary disease management plan
x424365019,Acute infective exacerbation of chronic obstructive airways disease
x2009451000006113,Chronic obstructive pulmonary disease post discharge review
x1882371000006118,Shared care chronic obstructive pulmonary disease monitoring
x1683181000000112,Chronic obstructive pulmonary disease 3 monthly review
x508562012,Chronic catarrhal bronchitis
x1488423019,Chronic obstructive pulmonary disease follow-up
x396108018,Bullous emphysema with collapse
x301453013,Acute exacerbation of chronic obstructive airways disease
x1813881000006119,On COPD (chr obstruc pulmonary disease) supportv cre pathway
x1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrom
x301835010,[X]Other emphysema
x396110016,Other emphysema NOS
x11932331000006115,COPD GOLD group A
x8294651000006114,COPD (chronic obstructive pulmonary disease) rescue pack declined
x4510801000006114,End stage chronic obstructive pulmonary disease
x8219501000006114,Issue of COPD (chronic obstructive pulmonary disease) rescue pack
x3764031000006119,Interstitial pulmonary emphysema
x1683221000000119,Chronic obstructive pulmonary disease 6 monthly review
x2152091000000112,Has chronic obstructive pulmonary disease care plan
x2308511000000113,Shared care chronic obstructive pulmonary disease monitoring
x1823851000006119,Chronic obstructive pulmonary disease confirmed
x8287171000006115,Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease)
x301572010,Chronic emphysema due to chemical fumes
x87480013,Chronic tracheobronchitis
x1904861000006117,Chronic obstruct pulmonary disease management plan declined
x301457014,Other chronic bronchitis
x301459012,Chronic bronchitis NOS
x301836011,[X]Other specified chronic obstructive pulmonary disease
x555471000006114,Chronic obstructive airways disease
x640491000006111,Emphysema
x966841000006111,Chronic obstructive pulmonary disease clini management plan
x3873191000006110,Fetid chronic bronchitis
x8244871000006114,GP (general practitioner) OOH (out of hours) service notified of COPD (chronic obstructive pulmonary disease) care plan
