prodcode,TermFromEMIS,class,bnf,substance,group
x335841000033117,Codeine Phosphate Linctus 15 mg/5 ml,,,codeine,other_opiates
x1413841000033115,Temazepam Capsules 15 mg,,,temazepam,benzodiazepine
x1416741000033119,Temazepam Elixir 10 mg/5 ml,,,temazepam,benzodiazepine
x1422141000033111,Temazepam Planpak,,,temazepam,benzodiazepine
x928941000033112,Morphine Sulfate Injection 30 mg/ml,,,morphine,other_opiates
x933341000033117,Morphine Sulfate Sachets 30 mg,,,morphine,other_opiates
x1066841000033118,Pethidine Hydrochloride Tablets 25 mg,,,pethidine,other_opiates
x1135741000033119,Protriptyline Hydrochloride Tablets 5 mg,,,protriptyline,antidepressant
x2180641000033111,Morphine Sulfate Suppositories 100 mg,,,morphine,other_opiates
x447741000033111,Diamorphine Hydrochloride Injection 500 mg/2 ml,,,diamorphine,other_opiates
x592541000033118,Fluoxetine Hydrochloride Liquid 20 mg/5 ml,,,fluoxetine,antidepressant
x457841000033116,Diazepam Rectubes 5 mg,,,diazepam,benzodiazepine
x967841000033113,Nitrazepam Capsules 5 mg,,,nitrazepam,benzodiazepine
x975241000033113,Nitrazepam Tablets 10 mg,,,nitrazepam,benzodiazepine
x979241000033110,Nortriptyline Capsules 10 mg,,,nortriptyline,antidepressant
x1025941000033111,Oxazepam Tablets 30 mg,,,oxazepam,benzodiazepine
x754141000033110,Imipramine Hydrochloride Syrup 25 mg/5 ml,,,imipramine,antidepressant
x928041000033111,"Morphine Sulfate Injection 2 mg/ml, 50 ml syringe",,,morphine,other_opiates
x1417641000033114,Temazepam Gelthix Gel-filled capsules 30 mg,,,temazepam,benzodiazepine
x1417841000033110,Temazepam Gelthix Gel-filled capsules 20 mg,,,temazepam,benzodiazepine
x932041000033111,Morphine Oral solution 8.4 mg/ml,,,morphine,other_opiates
x1052341000033116,Pethidine Injection 50 mg/ml,,,pethidine,other_opiates
x1053841000033115,Pethidine Injection 10 mg/ml,,,pethidine,other_opiates
x2927041000033113,Mediject Morphine Sulfate Auto-Injector 10 mg/1 ml pre-filled disposable injection,,,morphine,other_opiates
x12576241000033112,Fentanyl Solution for injection 100 micrograms/2 ml ampoule,,,fentanyl,other_opiates
x422341000033114,Dextromoramide Injection 10mg/ml,,,dextromoramide,other_opiates
x428241000033118,Dextromoramide Suppositories 10 mg,,,dextromoramide,other_opiates
x443241000033114,Dimotane With Codeine Paediatric Elixir,,,codeine,other_opiates
x275441000033113,Clomipramine Hydrochloride Injection 12.5mg/ml,,,clomipramine,antidepressant
x831641000033117,Linctus Of Codeine Linctus 15 mg/5 ml,,,codeine,other_opiates
x1034241000033116,Papaveretum And Hyoscine Injection,,,papaveretum,other_opiates
x924841000033114,Morphine Sulfate Epidural injection 2 mg/10 ml,,,morphine,other_opiates
x927941000033113,"Morphine Sulfate Injection 1 mg/ml, 50 ml syringe",,,morphine,other_opiates
x931041000033118,Morphine Hydrochloride Mixture 916 micrograms,,,morphine,other_opiates
x2180441000033114,Morphine Sulfate Suppositories 50 mg,,,morphine,other_opiates
x60841000033118,Amoxapine Tablets 25 mg,,,amoxapine,antidepressant
x248541000033115,Chlordiazepoxide Hydrochloride Tablets 10 mg,,,chlordiazepoxide,benzodiazepine
x250241000033117,Chlordiazepoxide Tablets 25 mg,,,chlordiazepoxide,benzodiazepine
x250741000033111,Chlordiazepoxide Hydrochloride Tablets 25 mg,,,chlordiazepoxide,benzodiazepine
x438241000033115,Diazepam Capsules 2 mg,,,diazepam,benzodiazepine
x443541000033111,Dihydrocodeine Tartrate Elixir 10mg/5 ml,,,codeine,other_opiates
x451341000033118,Diamorphine Hydrochloride Linctus 3mg/5 ml,,,diamorphine,other_opiates
x966341000033118,"Nefazodone Hydrochloride Tablets (starter pack) 14 x 50 mg, 14 x 100 mg, 28 x 200 mg",,,nefazodone,antidepressant
x1413741000033113,Temazepam Capsules 10 mg,,,temazepam,benzodiazepine
x1413941000033111,Temazepam Capsules 20 mg,,,temazepam,benzodiazepine
x1418041000033116,Temazepam Hard gelatin capsules 10 mg,,,temazepam,benzodiazepine
x911641000033119,Min-I-Jet Morphine Sulfate Injection 10 mg/ml,,,morphine,other_opiates
x934341000033119,Morphine Hydrochloride Suppositories 30 mg,,,morphine,other_opiates
x2267741000033115,"Methadone Hydrochloride Oral Solution, Sugar Free, Tartrazine Free 1 mg/1 ml",,,methadone,oat
x2180541000033110,Morphine Sulfate Suppositories 75 mg,,,morphine,other_opiates
x43541000033117,Amitriptyline Hydrochloride Capsules 25 mg,,,amitriptyline,antidepressant
x50041000033116,Amitriptyline Hydrochloride Injection 10mg/ml,,,amitriptyline,antidepressant
x61141000033117,Amoxapine Tablets 150 mg,,,amoxapine,antidepressant
x447641000033119,Diamorphine Hydrochloride Injection 5 mg,,,diamorphine,other_opiates
x466141000033119,Diamorphine Hydrochloride Tablets 10 mg,,,diamorphine,other_opiates
x1744741000033112,Morphine Sulfate Concentrated Oral Solution 20 mg/ml,,,morphine,other_opiates
x1414041000033113,Temazepam Capsules 30 mg,,,temazepam,benzodiazepine
x1417741000033117,Temazepam Gelthix Gel-filled capsules 10 mg,,,temazepam,benzodiazepine
x1022641000033113,Oxazepam Capsules 30 mg,,,oxazepam,benzodiazepine
x928641000033117,Morphine Injection 64mg/ml,,,morphine,other_opiates
x928741000033114,Morphine Sulfate Injection 10 mg/ml,,,morphine,other_opiates
x43741000033113,Amitriptyline Hydrochloride Capsules 75 mg,,,amitriptyline,antidepressant
x51941000033114,Amitriptyline Hydrochloride Mixture Sugar Free 10 mg/5 ml,,,amitriptyline,antidepressant
x237641000033119,Chlordiazepoxide Hydrochloride Capsules 10 mg,,,chlordiazepoxide,benzodiazepine
x443141000033119,Dimotane With Codeine Elixir,,,codeine,other_opiates
x446641000033117,Diazepam Injection 10 mg,,,diazepam,benzodiazepine
x468641000033111,Dihydrocodeine Tartrate Tablets 30 mg,,,codeine,other_opiates
x458441000033118,Diazepam Rectal tubes 20 mg,,,diazepam,benzodiazepine
x983141000033114,Nortriptyline Liquid 10mg/5 ml,,,nortriptyline,antidepressant
x1038141000033116,Papaveretum Paediatric injection 7.7 mg/ml,,,papaveretum,other_opiates
x928841000033116,Morphine Sulfate Injection 15 mg/ml,,,morphine,other_opiates
x929241000033111,Morphine And Atropine Injection 1 ml ampoule,,,morphine,other_opiates
x1052441000033110,Pethidine Hydrochloride Injection 100 mg,,,pethidine,other_opiates
x1053941000033111,Pentazocine Lactate Injection 30 mg/ml,,,pentazocine,other_opiates
x1135641000033111,Protriptyline Hydrochloride Tablets 10 mg,,,protriptyline,antidepressant
x2180341000033115,Morphine Sulfate Suppositories 35 mg,,,morphine,other_opiates
x567741000033110,Fentanyl Citrate Injection 2.5 mg/ml,,,fentanyl,other_opiates
x2227441000033115,Fentanyl 1.6mg lozenges,,,fentanyl,other_opiates
x2228041000033111,Actiq 1.6mg lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2227941000033113,Actiq 1.2mg lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2227341000033114,Fentanyl 1.2mg lozenges,,,fentanyl,other_opiates
x2227241000033116,Fentanyl 800microgram lozenges,,,fentanyl,other_opiates
x2227841000033117,Actiq 800microgram lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2227741000033110,Actiq 600microgram lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2227141000033111,Fentanyl 600microgram lozenges,,,fentanyl,other_opiates
x2227041000033112,Fentanyl 400microgram lozenges,,,fentanyl,other_opiates
x2227641000033118,Actiq 400microgram lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2227541000033119,Actiq 200microgram lozenges with integral oromucosal applicator (Teva UK Ltd),,,fentanyl,other_opiates
x2226941000033111,Fentanyl 200microgram lozenges,,,fentanyl,other_opiates
x795741000033118,Kaodene oral suspension (Sovereign Medical Ltd),,,codeine,other_opiates
x2645041000033118,Codeine 15mg/5ml linctus sugar free,,,codeine,other_opiates
x624441000033112,Galcodine 15mg/5ml linctus (Thornton & Ross Ltd),,,codeine,other_opiates
x578341000033118,Flurazepam 15mg capsules,,,flurazepam,benzodiazepine
x396341000033111,Dalmane 15mg capsules (Meda Pharmaceuticals Ltd),,,flurazepam,benzodiazepine
x396441000033117,Dalmane 30mg capsules (Meda Pharmaceuticals Ltd),,,flurazepam,benzodiazepine
x578441000033112,Flurazepam 30mg capsules,,,flurazepam,benzodiazepine
x850741000033117,Loprazolam 1mg tablets,,,loprazolam,benzodiazepine
x851441000033115,Lormetazepam 500microgram tablets,,,lormetazepam,benzodiazepine
x851341000033114,Lormetazepam 1mg tablets,,,lormetazepam,benzodiazepine
x975341000033115,Nitrazepam 5mg tablets,,,nitrazepam,benzodiazepine
x939441000033114,Mogadon 5mg tablets (Meda Pharmaceuticals Ltd),,,nitrazepam,benzodiazepine
x1363541000033112,Somnite 2.5mg/5ml oral suspension (Norgine Pharmaceuticals Ltd),,,nitrazepam,benzodiazepine
x974341000033116,Nitrazepam 2.5mg/5ml oral suspension,,,nitrazepam,benzodiazepine
x5414941000033113,Nitrazepam 5mg/5ml oral suspension,,,nitrazepam,benzodiazepine
x1428441000033117,Temazepam 10mg tablets,,,temazepam,benzodiazepine
x1428541000033116,Temazepam 20mg tablets,,,temazepam,benzodiazepine
x1563241000033113,Zopiclone 7.5mg tablets,,,zopiclone,z-drugs
x1558441000033110,Zimovane 7.5mg tablets (Sanofi),,,zopiclone,z-drugs
x1713641000033113,Zileze 7.5 tablets (Opus Pharmaceuticals Ltd),,,zopiclone,z-drugs
x1713541000033112,Zileze 3.75 tablets (Opus Pharmaceuticals Ltd),,,zopiclone,z-drugs
x1557941000033116,Zimovane LS 3.75mg tablets (Sanofi),,,zopiclone,z-drugs
x1562341000033111,Zopiclone 3.75mg tablets,,,zopiclone,z-drugs
x1562141000033113,Zolpidem 5mg tablets,,,zolpidem,z-drugs
x1386141000033114,Stilnoct 5mg tablets (Sanofi),,,zolpidem,z-drugs
x1387141000033111,Stilnoct 10mg tablets (Sanofi),,,zolpidem,z-drugs
x1562441000033117,Zolpidem 10mg tablets,,,zolpidem,z-drugs
x2003741000033117,Zaleplon 5mg capsules,,,zaleplon,z-drugs
x2003941000033119,Sonata 5mg capsules (Meda Pharmaceuticals Ltd),,,zaleplon,z-drugs
x2004041000033117,Sonata 10mg capsules (Meda Pharmaceuticals Ltd),,,zaleplon,z-drugs
x2003841000033110,Zaleplon 10mg capsules,,,zaleplon,z-drugs
x466841000033113,Diazepam 2mg tablets,,,diazepam,benzodiazepine
x1428241000033118,Tensium 2mg tablets (DDSA Pharmaceuticals Ltd),,,diazepam,benzodiazepine
x466941000033117,Diazepam 5mg tablets,,,diazepam,benzodiazepine
x466741000033115,Diazepam 10mg tablets,,,diazepam,benzodiazepine
x1428141000033113,Tensium 10mg tablets (DDSA Pharmaceuticals Ltd),,,diazepam,benzodiazepine
x2762341000033113,Diazepam 2mg/5ml oral solution,,,diazepam,benzodiazepine
x1728141000033116,Diazepam 5mg/5ml oral solution,,,diazepam,benzodiazepine
x460041000033115,Diazepam 10mg suppositories,,,diazepam,benzodiazepine
x1502941000033114,Valclair 10mg suppositories (Durbin Plc),,,diazepam,benzodiazepine
x1455941000033116,Tropium 5mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,chlordiazepoxide,benzodiazepine
x827941000033116,Librium 5mg capsules (Meda Pharmaceuticals Ltd),,,chlordiazepoxide,benzodiazepine
x238141000033111,Chlordiazepoxide 5mg capsules,,,chlordiazepoxide,benzodiazepine
x238241000033116,Chlordiazepoxide 10mg capsules,,,chlordiazepoxide,benzodiazepine
x827841000033112,Librium 10mg capsules (Meda Pharmaceuticals Ltd),,,chlordiazepoxide,benzodiazepine
x2621141000033119,Tropium 10mg capsules (Dr Reddy's Laboratories (UK) Ltd),,,chlordiazepoxide,benzodiazepine
x2621241000033114,Tropium 5mg tablets (Dr Reddy's Laboratories (UK) Ltd),,,chlordiazepoxide,benzodiazepine
x250841000033118,Chlordiazepoxide 5mg tablets,,,chlordiazepoxide,benzodiazepine
x250641000033119,Chlordiazepoxide 10mg tablets,,,chlordiazepoxide,benzodiazepine
x2621341000033116,Tropium 10mg tablets (Dr Reddy's Laboratories (UK) Ltd),,,chlordiazepoxide,benzodiazepine
x851141000033111,Lorazepam 1mg tablets,,,lorazepam,benzodiazepine
x851241000033116,Lorazepam 2.5mg tablets,,,lorazepam,benzodiazepine
x1025741000033113,Oxazepam 10mg tablets,,,oxazepam,benzodiazepine
x1025841000033115,Oxazepam 15mg tablets,,,oxazepam,benzodiazepine
x431741000033118,Depixol 3mg tablets (Lundbeck Ltd),,,flupentixol,antidepressant
x3091241000033119,Flupentixol 3mg tablets,,,flupentixol,antidepressant
x60441000033116,Amitriptyline 10mg tablets,,,amitriptyline,antidepressant
x60641000033119,Amitriptyline 25mg tablets,,,amitriptyline,antidepressant
x60541000033115,Amitriptyline 50mg tablets,,,amitriptyline,antidepressant
x262041000033115,Clomipramine 10mg capsules,,,clomipramine,antidepressant
x61941000033115,Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd),,,clomipramine,antidepressant
x62041000033114,Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd),,,clomipramine,antidepressant
x262141000033116,Clomipramine 25mg capsules,,,clomipramine,antidepressant
x262241000033111,Clomipramine 50mg capsules,,,clomipramine,antidepressant
x62141000033113,Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd),,,clomipramine,antidepressant
x472141000033110,Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd),,,dosulepin,antidepressant
x1111541000033117,Prothiaden 25mg capsules (Teofarma),,,dosulepin,antidepressant
x1111641000033116,Prepadine 25mg capsules (Teva UK Ltd),,,dosulepin,antidepressant
x3088941000033118,Dosulepin 25mg capsules,,,dosulepin,antidepressant
x3089041000033110,Dosulepin 75mg tablets,,,dosulepin,antidepressant
x1135941000033116,Prepadine 75mg tablets (Teva UK Ltd),,,dosulepin,antidepressant
x1135541000033110,Prothiaden 75mg tablets (Teofarma),,,dosulepin,antidepressant
x479641000033111,Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd),,,dosulepin,antidepressant
x1294541000033115,Sinequan 10mg capsules (Pfizer Ltd),,,doxepin,antidepressant
x473041000033119,Doxepin 10mg capsules,,,doxepin,antidepressant
x473141000033115,Doxepin 25mg capsules,,,doxepin,antidepressant
x1294641000033119,Sinequan 25mg capsules (Pfizer Ltd),,,doxepin,antidepressant
x4010441000033114,Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd),,,doxepin,antidepressant
x4010541000033110,Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd),,,doxepin,antidepressant
x1294741000033111,Sinequan 50mg capsules (Pfizer Ltd),,,doxepin,antidepressant
x473241000033110,Doxepin 50mg capsules,,,doxepin,antidepressant
x473341000033117,Doxepin 75mg capsules,,,doxepin,antidepressant
x1294841000033118,Sinequan 75mg capsules (Pfizer Ltd),,,doxepin,antidepressant
x755541000033119,Imipramine 10mg tablets,,,imipramine,antidepressant
x754241000033115,Imipramine 25mg tablets,,,imipramine,antidepressant
x1450841000033117,Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd),,,imipramine,antidepressant
x626241000033115,Gamanil 70mg tablets (Merck Serono Ltd),,,lofepramine,antidepressant
x2215541000033118,Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd),,,lofepramine,antidepressant
x850141000033116,Lofepramine 70mg tablets,,,lofepramine,antidepressant
x870441000033114,Maprotiline 10mg tablets,,,maprotiline,antidepressant
x853441000033119,Ludiomil 10mg tablets (Novartis Pharmaceuticals UK Ltd),,,maprotiline,antidepressant
x853541000033118,Ludiomil 25mg tablets (Novartis Pharmaceuticals UK Ltd),,,maprotiline,antidepressant
x870741000033119,Maprotiline 25mg tablets,,,maprotiline,antidepressant
x870841000033112,Maprotiline 50mg tablets,,,maprotiline,antidepressant
x853641000033117,Ludiomil 50mg tablets (Novartis Pharmaceuticals UK Ltd),,,maprotiline,antidepressant
x853741000033114,Ludiomil 75mg tablets (Novartis Pharmaceuticals UK Ltd),,,maprotiline,antidepressant
x870941000033116,Maprotiline 75mg tablets,,,maprotiline,antidepressant
x917541000033110,Mianserin 10mg tablets,,,mianserin,antidepressant
x917641000033111,Mianserin 20mg tablets,,,mianserin,antidepressant
x917741000033119,Mianserin 30mg tablets,,,mianserin,antidepressant
x989141000033111,Nortriptyline 10mg tablets,,,nortriptyline,antidepressant
x38741000033119,Allegron 10mg tablets (King Pharmaceuticals Ltd),,,nortriptyline,antidepressant
x38841000033112,Allegron 25mg tablets (King Pharmaceuticals Ltd),,,nortriptyline,antidepressant
x989241000033116,Nortriptyline 25mg tablets,,,nortriptyline,antidepressant
x1473641000033113,Trazodone 150mg tablets,,,trazodone,antidepressant
x938741000033111,Molipaxin 150mg tablets (Zentiva),,,trazodone,antidepressant
x923241000033113,Molipaxin 100mg capsules (Zentiva),,,trazodone,antidepressant
x1455241000033113,Trazodone 100mg capsules,,,trazodone,antidepressant
x1454641000033112,Trazodone 50mg capsules,,,trazodone,antidepressant
x923041000033117,Molipaxin 50mg capsules (Zentiva),,,trazodone,antidepressant
x1389441000033112,Surmontil 50mg capsules (Sanofi),,,imipramine,antidepressant
x1454741000033115,Trimipramine 50mg capsules,,,imipramine,antidepressant
x1471341000033116,Trimipramine 10mg tablets,,,imipramine,antidepressant
x1396741000033112,Surmontil 10mg tablets (Sanofi),,,imipramine,antidepressant
x1396841000033119,Surmontil 25mg tablets (Sanofi),,,imipramine,antidepressant
x1471441000033110,Trimipramine 25mg tablets,,,imipramine,antidepressant
x60941000033114,Amoxapine 50mg tablets,,,amoxapine,antidepressant
x87941000033111,Asendis 50mg tablets (Mercury Pharma Group Ltd),,,amoxapine,antidepressant
x87641000033116,Asendis 100mg tablets (Mercury Pharma Group Ltd),,,amoxapine,antidepressant
x61041000033116,Amoxapine 100mg tablets,,,amoxapine,antidepressant
x1079341000033111,Phenelzine 15mg tablets,,,phenelzine,antidepressant
x955241000033110,Nardil 15mg tablets (Kyowa Kirin Ltd),,,phenelzine,antidepressant
x787141000033110,Isocarboxazid 10mg tablets,,,isocarboxazid,antidepressant
x1469441000033116,Tranylcypromine 10mg tablets,,,tranylcypromine,antidepressant
x937241000033118,Moclobemide 150mg tablets,,,moclobemide,antidepressant
x868841000033115,Manerix 150mg tablets (Meda Pharmaceuticals Ltd),,,moclobemide,antidepressant
x868941000033111,Manerix 300mg tablets (Meda Pharmaceuticals Ltd),,,moclobemide,antidepressant
x937841000033119,Moclobemide 300mg tablets,,,moclobemide,antidepressant
x938841000033118,Motipress tablets (Sanofi-Synthelabo Ltd),,,nortriptyline,antidepressant
x938941000033114,Motival 10mg/500microgram tablets (Sanofi),,,nortriptyline,antidepressant
x3179941000033111,Nortriptyline 10mg / Fluphenazine 500microgram tablets,,,nortriptyline,antidepressant
x3180441000033118,Amitriptyline 25mg / Perphenazine 2mg tablets,,,amitriptyline,antidepressant
x1473341000033117,Triptafen tablets (Advanz Pharma),,,amitriptyline,antidepressant
x1473441000033111,Triptafen-M tablets (Mercury Pharma Group Ltd),,,amitriptyline,antidepressant
x3180541000033117,Amitriptyline 10mg / Perphenazine 2mg tablets,,,amitriptyline,antidepressant
x3091141000033114,Flupentixol 500microgram tablets,,,flupentixol,antidepressant
x593541000033112,Fluanxol 500microgram tablets (Lundbeck Ltd),,,flupentixol,antidepressant
x593441000033111,Fluanxol 1mg tablets (Lundbeck Ltd),,,flupentixol,antidepressant
x3091041000033110,Flupentixol 1mg tablets,,,flupentixol,antidepressant
x1474141000033117,Tryptophan 500mg tablets,,,tryptophan,antidepressant
x1008941000033114,Optimax 500mg tablets (Intrapharm Laboratories Ltd),,,tryptophan,antidepressant
x563341000033115,Faverin 50mg tablets (Mylan),,,fluvoxamine,antidepressant
x595541000033113,Fluvoxamine 50mg tablets,,,fluvoxamine,antidepressant
x592841000033116,Fluvoxamine 100mg tablets,,,fluvoxamine,antidepressant
x561941000033115,Faverin 100mg tablets (Mylan),,,fluvoxamine,antidepressant
x1112441000033114,Prozac 20mg capsules (Eli Lilly and Company Ltd),,,fluoxetine,antidepressant
x1923141000033118,Felicium 20mg capsules (Opus Pharmaceuticals Ltd),,,fluoxetine,antidepressant
x2602041000033119,Oxactin 20mg capsules (Discovery Pharmaceuticals),,,fluoxetine,antidepressant
x2710441000033119,Ranflutin 20mg capsules (Ranbaxy (UK) Ltd),,,fluoxetine,antidepressant
x577841000033114,Fluoxetine 20mg capsules,,,fluoxetine,antidepressant
x2770641000033114,Fluoxetine 20mg/5ml oral solution,,,fluoxetine,antidepressant
x1129541000033110,Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd),,,fluoxetine,antidepressant
x2770541000033113,Prozit 20mg/5ml oral solution (Pinewood Healthcare),,,fluoxetine,antidepressant
x1111941000033111,Prozac 60mg capsules (Eli Lilly and Company Ltd),,,fluoxetine,antidepressant
x579041000033111,Fluoxetine 60mg capsules,,,fluoxetine,antidepressant
x1278841000033119,Sertraline 50mg tablets,,,sertraline,antidepressant
x854241000033118,Lustral 50mg tablets (Pfizer Ltd),,,sertraline,antidepressant
x854141000033113,Lustral 100mg tablets (Pfizer Ltd),,,sertraline,antidepressant
x1278741000033112,Sertraline 100mg tablets,,,sertraline,antidepressant
x1042141000033117,Paroxetine 20mg tablets,,,paroxetine,antidepressant
x1278341000033111,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd),,,paroxetine,antidepressant
x1278441000033117,Seroxat 30mg tablets (GlaxoSmithKline UK Ltd),,,paroxetine,antidepressant
x1042241000033112,Paroxetine 30mg tablets,,,paroxetine,antidepressant
x1512241000033119,Venlafaxine 37.5mg tablets,,,venlafaxine,antidepressant
x499041000033111,Efexor 37.5mg tablets (Wyeth Pharmaceuticals),,,venlafaxine,antidepressant
x4897041000033116,ViePax 37.5mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x4896941000033117,ViePax 75mg tablets (Dexcel-Pharma Ltd),,,venlafaxine,antidepressant
x499141000033110,Efexor 75mg tablets (Wyeth Pharmaceuticals),,,venlafaxine,antidepressant
x1512341000033112,Venlafaxine 75mg tablets,,,venlafaxine,antidepressant
x1512441000033118,Venlafaxine 50mg tablets,,,venlafaxine,antidepressant
x499241000033115,Efexor 50mg tablets (Wyeth Pharmaceuticals),,,venlafaxine,antidepressant
x8265541000033112,Bonilux XL 75mg capsules (Sandoz Ltd),,,venlafaxine,antidepressant
x9300741000033116,Amphero XL 75mg capsules (Mylan),,,venlafaxine,antidepressant
x12194841000033116,Vencarm XL 75mg capsules (Aspire Pharma Ltd),,,venlafaxine,antidepressant
x12389941000033119,Venlasov XL 75mg capsules (Sovereign Medical Ltd),,,venlafaxine,antidepressant
x12641641000033114,Venzip XL 75mg capsules (Milpharm Ltd),,,venlafaxine,antidepressant
x498441000033112,Efexor XL 75mg capsules (Pfizer Ltd),,,venlafaxine,antidepressant
x1509341000033117,Venlafaxine 75mg modified-release capsules,,,venlafaxine,antidepressant
x4896841000033113,Vexarin XL 75mg capsules (Mylan),,,venlafaxine,antidepressant
x4899541000033115,Vensir XL 75mg capsules (Morningside Healthcare Ltd),,,venlafaxine,antidepressant
x4817741000033119,Tifaxin XL 75mg capsules (Genus Pharmaceuticals Ltd),,,venlafaxine,antidepressant
x4824641000033113,Winfex XL 75mg capsules (Zentiva),,,venlafaxine,antidepressant
x4818641000033112,Trixat XL 75mg capsules (PLIVA Pharma Ltd),,,venlafaxine,antidepressant
x4897141000033117,Tardcaps XL 75mg capsules (IXL Pharma Ltd),,,venlafaxine,antidepressant
x4937041000033115,Vaxalin XL 75mg capsules (Ratiopharm UK Ltd),,,venlafaxine,antidepressant
x4936641000033111,Venaxx XL 75mg capsules (Advanz Pharma),,,venlafaxine,antidepressant
x4957841000033111,Politid XL 75mg capsules (Actavis UK Ltd),,,venlafaxine,antidepressant
x4817441000033114,Rodomel XL 75mg capsules (Teva UK Ltd),,,venlafaxine,antidepressant
x5234041000033119,Foraven XL 75mg capsules (Forum Products Ltd),,,venlafaxine,antidepressant
x6029741000033113,Venlaneo XL 75mg capsules (Kent Pharmaceuticals Ltd),,,venlafaxine,antidepressant
x5328941000033119,Ranfaxine XL 75mg capsules (Ranbaxy (UK) Ltd),,,venlafaxine,antidepressant
x5813341000033119,Alventa XL 75mg capsules (Consilient Health Ltd),,,venlafaxine,antidepressant
x5812541000033115,Venlablue XL 75mg capsules (Creo Pharma Ltd),,,venlafaxine,antidepressant
x5574641000033117,Tonpular XL 75mg capsules (Wockhardt UK Ltd),,,venlafaxine,antidepressant
x5896341000033112,Depefex XL 75mg capsules (Chiesi Ltd),,,venlafaxine,antidepressant
x5889541000033114,Mentaven XL 75mg capsules (Arrow Generics Ltd),,,venlafaxine,antidepressant
x9300841000033114,Amphero XL 150mg capsules (Mylan),,,venlafaxine,antidepressant
x8265641000033113,Bonilux XL 150mg capsules (Sandoz Ltd),,,venlafaxine,antidepressant
